run_id,assay,well,sample,sample_type,sample_key,mean_max_posterior,median_max_posterior,mean_entropy,posterior_rowsum_min,posterior_rowsum_max,low_confidence_droplets
2021-04-06_SNV_D178N,D178N,C01,D178N,positive_control,d178n,0.9529214622488119,0.999820163259855,0.12736873469790622,0.9999999999999999,1.0000000000000002,1260
2021-04-06_SNV_D178N,D178N,C04,15-27-bg,biological_sample,15_27_bg,0.9992516500972325,0.9999152070327966,0.002598981469590279,0.9999999999999999,1.0000000000000002,12
2021-04-06_SNV_D178N,D178N,C07,14-2-th,biological_sample,14_2_th,0.9994574929582586,0.9999143481974961,0.002165134421222326,0.9999999999999999,1.0000000000000002,16
2021-04-06_SNV_D178N,D178N,D01,17-20-hc,biological_sample,17_20_hc,0.9996851070997499,0.9998899466876799,0.0020151737374620115,0.9999999999999999,1.0000000000000002,2
2021-04-06_SNV_D178N,D178N,D04,15-27-cb,biological_sample,15_27_cb,0.9990409829852113,0.9999112337509353,0.0030361349135959383,0.9999999999999999,1.0000000000000002,22
2021-04-06_SNV_D178N,D178N,D07,15-6-bg,biological_sample,15_6_bg,0.9995791735211437,0.9999123328249447,0.0018588037658544261,0.9999999999999999,1.0000000000000002,10
2021-04-06_SNV_D178N,D178N,E01,15-6-th,biological_sample,15_6_th,0.9995263414605916,0.9998981630665805,0.0021809403443263198,0.9999999999999999,1.0000000000000002,9
2021-04-06_SNV_D178N,D178N,E04,15-27-pons,biological_sample,15_27_ps,0.9993425138872187,0.9999092652187267,0.002568582423912601,0.9999999999999999,1.0000000000000002,11
2021-04-06_SNV_D178N,D178N,E07,15-6-cb,biological_sample,15_6_cb,0.9995555035447297,0.9999134150212811,0.0018106313726293781,0.9999999999999999,1.0000000000000002,9
2021-04-06_SNV_D178N,D178N,F01,17-8-th,biological_sample,17_8_th,0.9992599123024346,0.9998568145007383,0.0031778915562003136,0.9999999999999999,1.0000000000000002,19
2021-04-06_SNV_D178N,D178N,F04,15-27-th,biological_sample,15_27_th,0.999034060286477,0.9999037772635778,0.0033240354761475354,0.9999999999999999,1.0000000000000002,22
2021-04-06_SNV_D178N,D178N,F07,15-6-fr,biological_sample,15_6_fr,0.9987250555511751,0.9999123246197252,0.003730821964021036,0.9999999999999999,1.0000000000000002,40
2021-04-06_SNV_D178N,D178N,G04,15-1-hc,biological_sample,15_1_hc,0.9991694130216768,0.9999070477219298,0.002956971183683589,0.9999999999999999,1.0000000000000002,16
2021-04-06_SNV_D178N,D178N,G07,15-6-hc,biological_sample,15_6_hc,0.9995690336705192,0.999910682671008,0.0018980154287028656,0.9999999999999999,1.0000000000000002,7
2021-04-06_SNV_D178N,D178N,H01,933892-bg,biological_sample,933892_bg,0.9995353083865892,0.999879856302395,0.0023486619032245457,0.9999999999999999,1.0000000000000002,8
2021-04-06_SNV_D178N,D178N,H04,15-1-sn,biological_sample,15_1_sn,0.9994597839015076,0.9998975357207106,0.0022970700516644904,0.9999999999999999,1.0000000000000002,9
2021-04-06_SNV_D178N,D178N,H07,15-6-sn,biological_sample,15_6_sn,0.999336556743966,0.9998999075181936,0.0026523464639107903,0.9999999999999999,1.0000000000000002,12
2021-05-10_SNV_D178N,D178N,A01,NTC,NTC,ntc,0.9833319752328754,0.9999478157758885,0.04262384194527137,0.9999999999999999,1.0000000000000002,463
2021-05-10_SNV_D178N,D178N,A04,09-100-th,biological_sample,09_100_th,0.9992335345703213,0.9999106487293496,0.0026900773145271915,0.9999999999999999,1.0000000000000002,22
2021-05-10_SNV_D178N,D178N,A07,03-132-ce,biological_sample,03_132_ce,0.9993596755520846,0.9999116068670518,0.0025246269515468954,0.9999999999999999,1.0000000000000002,12
2021-05-10_SNV_D178N,D178N,B01,WT,WT_control,wt,0.9956325819773354,0.9998483906702509,0.01312793903489963,0.9999999999999999,1.0000000000000002,118
2021-05-10_SNV_D178N,D178N,B04,03-112-cau,biological_sample,03_112_cau,0.9992634020530514,0.9998969021470645,0.0028279133889712177,0.9999999999999999,1.0000000000000002,20
