method_id,assay,channel,channel_role,status,message,negative_mean,negative_sd,positive_mean,positive_sd,negative_upper,positive_lower,rain_band_overlap,run_id,threshold_interval,reps,threshold,elapsed_seconds
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_P102L,0.999,10,9358.5,2.907000000000039
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-18_SNV_P102L,0.999,10,3711.5,2.3559999999999945
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-18_SNV_P102L,0.999,10,9358.5,3.0610000000000355
ddpcRquant_0999,P102L,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-05_SNV_P102L,0.999,10,3305.5,2.879000000000019
ddpcRquant_0999,P102L,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-05_SNV_P102L,0.999,10,9359,2.5389999999999873
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_P102L,0.999,10,3734,2.955000000000041
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_P102L,0.999,10,9359,2.9729999999999563
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_P102L,0.999,10,4171.5,2.951000000000022
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_P102L,0.999,10,9358.5,2.836999999999989
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_P102L,0.999,10,3736,2.894999999999982
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_P102L,0.999,10,9358.5,2.8450000000000273
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_P102L,0.999,10,3763,2.9729999999999563
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_P102L,0.999,10,9359,2.875
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-14_SNV_P102L,0.999,10,4066.5,3.0639999999999645
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-14_SNV_P102L,0.999,10,9358.5,3.007000000000062
ddpcRquant_09995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_D178N,0.9995,10,6271.5,0.5210000000000008
ddpcRquant_09995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_D178N,0.9995,10,1162,0.5250000000000057
ddpcRquant_09995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_D178N,0.9995,10,6271.5,0.5130000000000052
ddpcRquant_09995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_D178N,0.9995,10,1162,0.5449999999999875
ddpcRquant_09995,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_D178N,0.9995,10,6271.5,0.5520000000000067
ddpcRquant_09995,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_D178N,0.9995,10,1162.5,0.546999999999997
