assay,target_class,vertex_order,gate_source,n_control_points,n_trimmed_points,min_hull_points,polygon_expansion,ch1_amplitude,ch2_amplitude
E200K,WT,1,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,8285.6188119,1409.9210673999999
E200K,WT,2,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,7340.176301400001,1086.6038099
E200K,WT,3,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,5365.1166419,720.0927299
E200K,WT,4,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,4259.4590219,555.4914169
E200K,WT,5,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,4132.7447345,549.5053658999999
E200K,WT,6,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3931.0266814,552.7906538999999
E200K,WT,7,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3837.3914826,561.83431449
E200K,WT,8,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3708.2693127,574.3098259
E200K,WT,9,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3683.2284471000003,577.2080398999999
E200K,WT,10,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3578.0578044999997,591.1572269
E200K,WT,11,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3416.7270092999997,618.9317949
E200K,WT,12,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3375.9698372,626.3779738999999
E200K,WT,13,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3097.6828819,700.0659248999999
E200K,WT,14,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3060.6245119,714.6250779
E200K,WT,15,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2865.6146119,823.0866529
E200K,WT,16,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2795.7710432,867.03650364
E200K,WT,17,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2755.6028045,899.19628016
E200K,WT,18,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2727.2959118999997,949.3561605499999
E200K,WT,19,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2716.1001929999998,972.8137359
E200K,WT,20,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2705.9944818999998,1014.40974
E200K,WT,21,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2703.8701996,1073.6121109
E200K,WT,22,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2713.1454731999997,1111.8291073
E200K,WT,23,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2754.7674332999995,1199.4766689
E200K,WT,24,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,2768.6724332999997,1225.6603298
E200K,WT,25,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3046.9270878,1442.5833252999998
E200K,WT,26,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3301.303139,1570.2414738000002
E200K,WT,27,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,3617.3552194,1688.0205627
E200K,WT,28,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,4012.6805803,1834.4210032
E200K,WT,29,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,4678.4444819,2031.0128699000002
E200K,WT,30,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,5708.1071053999995,2268.3667188
E200K,WT,31,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,6389.058810199999,2361.0119022
E200K,WT,32,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,7001.824751900001,2389.0794022
E200K,WT,33,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,8342.4573019,2404.3277282
E200K,WT,34,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,8479.6625719,2386.2735586
E200K,WT,35,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,8687.2189019,2356.8307099000003
E200K,WT,36,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,8865.7405619,2327.9639299
E200K,WT,37,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,8969.681981900001,2301.5975470000003
E200K,WT,38,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,9083.2961319,2271.5774245000002
E200K,WT,39,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,9146.4196819,2250.571553
E200K,WT,40,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,9209.8110319,2224.2212999000003
E200K,WT,41,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,9253.6674019,2199.7668545
E200K,WT,42,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,9402.1243919,2103.4476199
